"","Model","D47","Tc","sd","Material","D47se"
"1","BLM1_fit",0.6,58.848935192739,0.702367828008092,NA,NA
"2","BLM1_fit",0.7,18.67158671077,0.324448526689198,NA,NA
"3","BLM1_fit",0.8,-9.74264829532315,0.308272099950758,NA,NA
"4","BLM1_fit",0.6,58.848935192739,0.702367828008092,NA,NA
"5","BLM1_fit",0.7,18.67158671077,0.324448526689198,NA,NA
"6","BLM1_fit",0.8,-9.74264829532315,0.308272099950758,NA,NA
"7","BLM1_fit",0.6,58.848935192739,0.702367828008092,NA,NA
"8","BLM1_fit",0.7,18.67158671077,0.324448526689198,NA,NA
"9","BLM1_fit",0.8,-9.74264829532315,0.308272099950758,NA,NA
"10","BLM1_fit_NoErrors",0.6,58.9532490300385,0.728328454151943,NA,NA
"11","BLM1_fit_NoErrors",0.7,18.693306583172,0.320913184347922,NA,NA
"12","BLM1_fit_NoErrors",0.8,-9.76264943026081,0.315844438291811,NA,NA
"13","BLM1_fit_NoErrors",0.6,58.9532490300385,0.728328454151943,NA,NA
"14","BLM1_fit_NoErrors",0.7,18.693306583172,0.320913184347922,NA,NA
"15","BLM1_fit_NoErrors",0.8,-9.76264943026081,0.315844438291811,NA,NA
"16","BLM1_fit_NoErrors",0.6,58.9532490300385,0.728328454151943,NA,NA
"17","BLM1_fit_NoErrors",0.7,18.693306583172,0.320913184347922,NA,NA
"18","BLM1_fit_NoErrors",0.8,-9.76264943026081,0.315844438291811,NA,NA
"19","BLM3",0.6,58.9181103572058,0.728328454151943,1,NA
"20","BLM3",0.7,18.67528182355,0.320913184347922,1,NA
"21","BLM3",0.8,-9.77174782989909,0.315844438291811,1,NA
"22","BLM3",0.6,58.9181103572058,0.728328454151943,1,NA
"23","BLM3",0.7,18.67528182355,0.320913184347922,1,NA
"24","BLM3",0.8,-9.77174782989909,0.315844438291811,1,NA
"25","BLM3",0.6,58.9181103572058,0.728328454151943,1,NA
"26","BLM3",0.7,18.67528182355,0.320913184347922,1,NA
"27","BLM3",0.8,-9.77174782989909,0.315844438291811,1,NA
"28","OLS",0.6,58.9360787663906,2.42130668577551,NA,0.005
"29","OLS",0.7,18.6852454042055,1.64737190021822,NA,0.005
"30","OLS",0.8,-9.76691958816508,1.21289580500184,NA,0.005
"31","OLS",0.6,58.9360787663906,4.7904114368668,NA,0.01
"32","OLS",0.7,18.6852454042055,3.26715749912245,NA,0.01
"33","OLS",0.8,-9.76691958816508,2.40918808588953,NA,0.01
"34","OLS",0.6,58.9360787663906,9.3793214114346,NA,0.02
"35","OLS",0.7,18.6852454042055,6.42698637466884,NA,0.02
"36","OLS",0.8,-9.76691958816508,4.75345185678316,NA,0.02
"37","York",0.6,58.1967522021187,2.37393790071008,NA,0.005
"38","York",0.7,18.6196085692698,1.62475826534239,NA,0.005
"39","York",0.8,-9.49294156911537,1.20074717076687,NA,0.005
"40","York",0.6,58.1967522021187,4.69757186129874,NA,0.01
"41","York",0.7,18.6196085692698,3.22267231069696,NA,0.01
"42","York",0.8,-9.49294156911537,2.38523703297437,NA,0.01
"43","York",0.6,58.1967522021187,9.20085108757064,NA,0.02
"44","York",0.7,18.6196085692698,6.34086476053403,NA,0.02
"45","York",0.8,-9.49294156911537,4.70688784753821,NA,0.02
"46","Deming",0.6,58.7978025842538,2.41331942214845,NA,0.005
"47","Deming",0.7,18.6606071553081,1.64355306840605,NA,0.005
"48","Deming",0.8,-9.73411273510305,1.2108353138338,NA,0.005
"49","Deming",0.6,58.7978025842538,4.77475699318035,NA,0.01
"50","Deming",0.7,18.6606071553081,3.25964458223001,NA,0.01
"51","Deming",0.8,-9.73411273510305,2.40512525419018,NA,0.01
"52","Deming",0.6,58.7978025842538,9.34922795865373,NA,0.02
"53","Deming",0.7,18.6606071553081,6.41243938853393,NA,0.02
"54","Deming",0.8,-9.73411273510305,4.745550941288,NA,0.02
"55","WOLS",0.6,58.936078834062,2.42130669012334,NA,0.005
"56","WOLS",0.7,18.6852454101954,1.64737190228249,NA,0.005
"57","WOLS",0.8,-9.76691961311991,1.21289580610636,NA,0.005
"58","WOLS",0.6,58.936078834062,4.79041144538712,NA,0.01
"59","WOLS",0.7,18.6852454101954,3.26715750318249,NA,0.01
"60","WOLS",0.8,-9.76691961311991,2.40918808806686,NA,0.01
"61","WOLS",0.6,58.936078834062,9.37932142780772,NA,0.02
"62","WOLS",0.7,18.6852454101954,6.42698638252745,NA,0.02
"63","WOLS",0.8,-9.76691961311991,4.75345186101561,NA,0.02
